Record ID,City,State,Victim Sex,Victim Age,Perpetrator Sex, Perpetrator Age,Relationship,Weapon Used
376937,Fulton,Georgia,Female,0,Male,3,Acquaintance,Blunt Object
450150,Yuma,Arizona,Female,2,Male,3,Sister,Shotgun
458802,Brunswick,North Carolina,Male,40,Male,3,Father,Handgun
549810,Pinal,Arizona,Male,9,Male,3,Brother,Handgun
553518,St. Lucie,Florida,Male,51,Male,3,Unknown,Knife
606534,Oklahoma,Oklahoma,Male,1,Female,3,Brother,Drowning
614542,Lake,Indiana,Female,2,Female,3,Sister,Handgun
623772,Snohomish,Washington,Female,7,Male,3,Sister,Handgun
634690,Tulsa,Oklahoma,Female,26,Male,3,Mother,Handgun
93777,St. Louis,Missouri,Female,2,Female,2,Acquaintance,Handgun
151719,Mecklenburg,North Carolina,Male,0,Male,2,Brother,Handgun
225058,Jefferson,Colorado,Female,5,Male,2,Sister,Handgun
340568,Orange,Florida,Female,2,Female,2,Daughter,Firearm
354003,Juneau,Alaska,Female,20,Male,2,Mother,Handgun
398681,Oklahoma,Oklahoma,Male,21,Male,2,Stranger,Shotgun
19055,Saluda,South Carolina,Male,21,Unknown,1,Unknown,Unknown
273689,Osceola,Florida,Female,1,Female,1,Daughter,Blunt Object
339710,Broward,Florida,Male,15,Unknown,1,Husband,Firearm
340805,Pinellas,Florida,Male,58,Unknown,1,Unknown,Firearm
340808,Pinellas,Florida,Male,58,Male,1,Unknown,Firearm
402379,Marion,West Virginia,Female,41,Male,1,Ex-Wife,Shotgun
446380,Union,South Carolina,Male,1,Male,1,Acquaintance,Blunt Object
452765,Arapahoe,Colorado,Male,20,Male,1,Stranger,Handgun
453485,Dade,Florida,Female,18,Unknown,1,Unknown,Handgun
453486,Dade,Florida,Male,35,Unknown,1,Unknown,Handgun
453498,Dade,Florida,Male,41,Unknown,1,Unknown,Rifle
477787,Franklin,Ohio,Male,41,Unknown,1,Unknown,Firearm
477814,Franklin,Ohio,Male,1,Male,1,Unknown,Blunt Object
486193,Broward,Florida,Female,1,Male,1,Unknown,Rifle
490259,Wayne,Michigan,Male,24,Male,1,Unknown,Firearm
490261,Wayne,Michigan,Female,27,Male,1,Common-Law Wife,Handgun
490346,Wayne,Michigan,Male,26,Unknown,1,Unknown,Firearm
490427,Wayne,Michigan,Female,41,Unknown,1,Unknown,Firearm
490439,Wayne,Michigan,Male,19,Male,1,Unknown,Firearm
490457,Wayne,Michigan,Female,1,Male,1,Common-Law Wife,Handgun
499863,Yuma,Arizona,Male,34,Male,1,Unknown,Handgun
511613,Franklin,Ohio,Male,25,Unknown,1,Unknown,Firearm
511620,Franklin,Ohio,Male,1,Unknown,1,Unknown,Firearm
511644,Franklin,Ohio,Male,40,Unknown,1,Unknown,Gun
525033,Saginaw,Michigan,Female,26,Unknown,1,Unknown,Firearm
526574,Mecklenburg,North Carolina,Female,85,Female,1,Unknown,Drugs
560127,Montgomery,Ohio,Male,31,Male,1,Unknown,Firearm
560464,Franklin,Ohio,Male,28,Unknown,1,Unknown,Firearm
568447,Duval,Florida,Male,18,Male,1,Unknown,Handgun
582869,Alachua,Florida,Male,58,Unknown,1,Unknown,Knife
590721,Franklin,Ohio,Male,21,Unknown,1,Unknown,Firearm
598769,Alachua,Florida,Female,32,Unknown,1,Unknown,Unknown
599066,Dade,Florida,Male,42,Male,1,Unknown,Unknown
635634,Horry,South Carolina,Male,49,Unknown,1,Stranger,Handgun
